id,question,option_a,option_b,option_c,option_d,correct_option,explanation,topic,difficulty
403,La contrainte UNIQUE assure : (v27),Valeurs distinctes dans la colonne,Valeurs non nulles,Valeur par défaut,Supprime les doublons,A,UNIQUE empêche la duplication de valeurs.,SQL - Contraintes,Moyen
404,Quel type d'index est le plus adapté pour les recherches par préfixe ? (v27),Index B-tree,Index bitmap,Hash index,Index spatial,A,B-tree est couramment utilisé pour préfixes et range scans.,SQL - Index,Moyen
405,La transaction ACID 'I' signifie : (v27),Isolation,Intégrité,Implémentation,Instruction,A,"A=Atomicity, C=Consistency, I=Isolation, D=Durability.",SQL - Transactions,Moyen
406,Quel niveau d'isolation permet les lectures non répétables ? (v27),READ COMMITTED,SERIALIZABLE,REPEATABLE READ,READ UNCOMMITTED,A,READ COMMITTED autorise non-répétables; SERIALIZABLE est le plus strict.,SQL - Transactions,Moyen
407,Quel mot-clé est utilisé pour rechercher un motif en SQL ? (v27),LIKE,MATCH,SEARCH,PATTERN,A,LIKE utilise % et _ pour motif.,SQL - Opérateurs,Moyen
408,Quelle clause permet de trier le résultat ? (v27),ORDER BY,GROUP BY,HAVING,WHERE,A,ORDER BY trie les lignes.,SQL - Clauses,Moyen
409,Quel est le rôle d'une clé étrangère (FOREIGN KEY) ? (v27),Assurer la référence entre tables,Accélérer les requêtes,Générer des index automatiques,Stocker des logs,A,FOREIGN KEY garantit l'intégrité référentielle.,SQL - Contraintes,Moyen
410,Quel mot-clé restaure les permissions par défaut sur une table ? (v27),REVOKE,GRANT,RESET,RESTORE,A,REVOKE retire des permissions précédemment GRANTées.,SQL - Sécurité,Moyen
431,Quel est le résultat de SELECT COUNT(*) FROM table WHERE 1=0 ? (v30),0,1,NULL,Erreur,A,COUNT retourne 0 si aucune ligne ne correspond.,SQL - Fonctions,Moyen
432,Quel mot-clé modifie des lignes existantes dans une table ? (v30),UPDATE,ALTER,MODIFY,CHANGE,A,UPDATE modifie les lignes.,SQL - DML,Moyen
433,La contrainte UNIQUE assure : (v30),Valeurs distinctes dans la colonne,Valeurs non nulles,Valeur par défaut,Supprime les doublons,A,UNIQUE empêche la duplication de valeurs.,SQL - Contraintes,Moyen
434,Quel type d'index est le plus adapté pour les recherches par préfixe ? (v30),Index B-tree,Index bitmap,Hash index,Index spatial,A,B-tree est couramment utilisé pour préfixes et range scans.,SQL - Index,Moyen
435,La transaction ACID 'I' signifie : (v30),Isolation,Intégrité,Implémentation,Instruction,A,"A=Atomicity, C=Consistency, I=Isolation, D=Durability.",SQL - Transactions,Moyen
436,Quel niveau d'isolation permet les lectures non répétables ? (v30),READ COMMITTED,SERIALIZABLE,REPEATABLE READ,READ UNCOMMITTED,A,READ COMMITTED autorise non-répétables; SERIALIZABLE est le plus strict.,SQL - Transactions,Moyen
437,Quel mot-clé est utilisé pour rechercher un motif en SQL ? (v30),LIKE,MATCH,SEARCH,PATTERN,A,LIKE utilise % et _ pour motif.,SQL - Opérateurs,Moyen
438,Quelle clause permet de trier le résultat ? (v30),ORDER BY,GROUP BY,HAVING,WHERE,A,ORDER BY trie les lignes.,SQL - Clauses,Moyen
439,Quel est le rôle d'une clé étrangère (FOREIGN KEY) ? (v30),Assurer la référence entre tables,Accélérer les requêtes,Générer des index automatiques,Stocker des logs,A,FOREIGN KEY garantit l'intégrité référentielle.,SQL - Contraintes,Moyen
440,Quel mot-clé restaure les permissions par défaut sur une table ? (v30),REVOKE,GRANT,RESET,RESTORE,A,REVOKE retire des permissions précédemment GRANTées.,SQL - Sécurité,Moyen
461,Quel est le résultat de SELECT COUNT(*) FROM table WHERE 1=0 ? (v33),0,1,NULL,Erreur,A,COUNT retourne 0 si aucune ligne ne correspond.,SQL - Fonctions,Moyen
462,Quel mot-clé modifie des lignes existantes dans une table ? (v33),UPDATE,ALTER,MODIFY,CHANGE,A,UPDATE modifie les lignes.,SQL - DML,Moyen
463,La contrainte UNIQUE assure : (v33),Valeurs distinctes dans la colonne,Valeurs non nulles,Valeur par défaut,Supprime les doublons,A,UNIQUE empêche la duplication de valeurs.,SQL - Contraintes,Moyen
464,Quel type d'index est le plus adapté pour les recherches par préfixe ? (v33),Index B-tree,Index bitmap,Hash index,Index spatial,A,B-tree est couramment utilisé pour préfixes et range scans.,SQL - Index,Moyen
465,La transaction ACID 'I' signifie : (v33),Isolation,Intégrité,Implémentation,Instruction,A,"A=Atomicity, C=Consistency, I=Isolation, D=Durability.",SQL - Transactions,Moyen
466,Quel niveau d'isolation permet les lectures non répétables ? (v33),READ COMMITTED,SERIALIZABLE,REPEATABLE READ,READ UNCOMMITTED,A,READ COMMITTED autorise non-répétables; SERIALIZABLE est le plus strict.,SQL - Transactions,Moyen
467,Quel mot-clé est utilisé pour rechercher un motif en SQL ? (v33),LIKE,MATCH,SEARCH,PATTERN,A,LIKE utilise % et _ pour motif.,SQL - Opérateurs,Moyen
468,Quelle clause permet de trier le résultat ? (v33),ORDER BY,GROUP BY,HAVING,WHERE,A,ORDER BY trie les lignes.,SQL - Clauses,Moyen
469,Quel est le rôle d'une clé étrangère (FOREIGN KEY) ? (v33),Assurer la référence entre tables,Accélérer les requêtes,Générer des index automatiques,Stocker des logs,A,FOREIGN KEY garantit l'intégrité référentielle.,SQL - Contraintes,Moyen
470,Quel mot-clé restaure les permissions par défaut sur une table ? (v33),REVOKE,GRANT,RESET,RESTORE,A,REVOKE retire des permissions précédemment GRANTées.,SQL - Sécurité,Moyen
491,Quel est le résultat de SELECT COUNT(*) FROM table WHERE 1=0 ? (v36),0,1,NULL,Erreur,A,COUNT retourne 0 si aucune ligne ne correspond.,SQL - Fonctions,Moyen
492,Quel mot-clé modifie des lignes existantes dans une table ? (v36),UPDATE,ALTER,MODIFY,CHANGE,A,UPDATE modifie les lignes.,SQL - DML,Moyen
493,La contrainte UNIQUE assure : (v36),Valeurs distinctes dans la colonne,Valeurs non nulles,Valeur par défaut,Supprime les doublons,A,UNIQUE empêche la duplication de valeurs.,SQL - Contraintes,Moyen
494,Quel type d'index est le plus adapté pour les recherches par préfixe ? (v36),Index B-tree,Index bitmap,Hash index,Index spatial,A,B-tree est couramment utilisé pour préfixes et range scans.,SQL - Index,Moyen
495,La transaction ACID 'I' signifie : (v36),Isolation,Intégrité,Implémentation,Instruction,A,"A=Atomicity, C=Consistency, I=Isolation, D=Durability.",SQL - Transactions,Moyen
496,Quel niveau d'isolation permet les lectures non répétables ? (v36),READ COMMITTED,SERIALIZABLE,REPEATABLE READ,READ UNCOMMITTED,A,READ COMMITTED autorise non-répétables; SERIALIZABLE est le plus strict.,SQL - Transactions,Moyen
497,Quel mot-clé est utilisé pour rechercher un motif en SQL ? (v36),LIKE,MATCH,SEARCH,PATTERN,A,LIKE utilise % et _ pour motif.,SQL - Opérateurs,Moyen
498,Quelle clause permet de trier le résultat ? (v36),ORDER BY,GROUP BY,HAVING,WHERE,A,ORDER BY trie les lignes.,SQL - Clauses,Moyen
499,Quel est le rôle d'une clé étrangère (FOREIGN KEY) ? (v36),Assurer la référence entre tables,Accélérer les requêtes,Générer des index automatiques,Stocker des logs,A,FOREIGN KEY garantit l'intégrité référentielle.,SQL - Contraintes,Moyen
500,Quel mot-clé restaure les permissions par défaut sur une table ? (v36),REVOKE,GRANT,RESET,RESTORE,A,REVOKE retire des permissions précédemment GRANTées.,SQL - Sécurité,Moyen
521,Quel est le résultat de SELECT COUNT(*) FROM table WHERE 1=0 ? (v39),0,1,NULL,Erreur,A,COUNT retourne 0 si aucune ligne ne correspond.,SQL - Fonctions,Moyen
522,Quel mot-clé modifie des lignes existantes dans une table ? (v39),UPDATE,ALTER,MODIFY,CHANGE,A,UPDATE modifie les lignes.,SQL - DML,Moyen
523,La contrainte UNIQUE assure : (v39),Valeurs distinctes dans la colonne,Valeurs non nulles,Valeur par défaut,Supprime les doublons,A,UNIQUE empêche la duplication de valeurs.,SQL - Contraintes,Moyen
524,Quel type d'index est le plus adapté pour les recherches par préfixe ? (v39),Index B-tree,Index bitmap,Hash index,Index spatial,A,B-tree est couramment utilisé pour préfixes et range scans.,SQL - Index,Moyen
525,La transaction ACID 'I' signifie : (v39),Isolation,Intégrité,Implémentation,Instruction,A,"A=Atomicity, C=Consistency, I=Isolation, D=Durability.",SQL - Transactions,Moyen
526,Quel niveau d'isolation permet les lectures non répétables ? (v39),READ COMMITTED,SERIALIZABLE,REPEATABLE READ,READ UNCOMMITTED,A,READ COMMITTED autorise non-répétables; SERIALIZABLE est le plus strict.,SQL - Transactions,Moyen
527,Quel mot-clé est utilisé pour rechercher un motif en SQL ? (v39),LIKE,MATCH,SEARCH,PATTERN,A,LIKE utilise % et _ pour motif.,SQL - Opérateurs,Moyen
528,Quelle clause permet de trier le résultat ? (v39),ORDER BY,GROUP BY,HAVING,WHERE,A,ORDER BY trie les lignes.,SQL - Clauses,Moyen
529,Quel est le rôle d'une clé étrangère (FOREIGN KEY) ? (v39),Assurer la référence entre tables,Accélérer les requêtes,Générer des index automatiques,Stocker des logs,A,FOREIGN KEY garantit l'intégrité référentielle.,SQL - Contraintes,Moyen
530,Quel mot-clé restaure les permissions par défaut sur une table ? (v39),REVOKE,GRANT,RESET,RESTORE,A,REVOKE retire des permissions précédemment GRANTées.,SQL - Sécurité,Moyen
551,Quel est le résultat de SELECT COUNT(*) FROM table WHERE 1=0 ? (v42),0,1,NULL,Erreur,A,COUNT retourne 0 si aucune ligne ne correspond.,SQL - Fonctions,Moyen
552,Quel mot-clé modifie des lignes existantes dans une table ? (v42),UPDATE,ALTER,MODIFY,CHANGE,A,UPDATE modifie les lignes.,SQL - DML,Moyen
553,La contrainte UNIQUE assure : (v42),Valeurs distinctes dans la colonne,Valeurs non nulles,Valeur par défaut,Supprime les doublons,A,UNIQUE empêche la duplication de valeurs.,SQL - Contraintes,Moyen
554,Quel type d'index est le plus adapté pour les recherches par préfixe ? (v42),Index B-tree,Index bitmap,Hash index,Index spatial,A,B-tree est couramment utilisé pour préfixes et range scans.,SQL - Index,Moyen
555,La transaction ACID 'I' signifie : (v42),Isolation,Intégrité,Implémentation,Instruction,A,"A=Atomicity, C=Consistency, I=Isolation, D=Durability.",SQL - Transactions,Moyen
556,Quel niveau d'isolation permet les lectures non répétables ? (v42),READ COMMITTED,SERIALIZABLE,REPEATABLE READ,READ UNCOMMITTED,A,READ COMMITTED autorise non-répétables; SERIALIZABLE est le plus strict.,SQL - Transactions,Moyen
557,Quel mot-clé est utilisé pour rechercher un motif en SQL ? (v42),LIKE,MATCH,SEARCH,PATTERN,A,LIKE utilise % et _ pour motif.,SQL - Opérateurs,Moyen
558,Quelle clause permet de trier le résultat ? (v42),ORDER BY,GROUP BY,HAVING,WHERE,A,ORDER BY trie les lignes.,SQL - Clauses,Moyen
559,Quel est le rôle d'une clé étrangère (FOREIGN KEY) ? (v42),Assurer la référence entre tables,Accélérer les requêtes,Générer des index automatiques,Stocker des logs,A,FOREIGN KEY garantit l'intégrité référentielle.,SQL - Contraintes,Moyen
560,Quel mot-clé restaure les permissions par défaut sur une table ? (v42),REVOKE,GRANT,RESET,RESTORE,A,REVOKE retire des permissions précédemment GRANTées.,SQL - Sécurité,Moyen
581,Quel est le résultat de SELECT COUNT(*) FROM table WHERE 1=0 ? (v45),0,1,NULL,Erreur,A,COUNT retourne 0 si aucune ligne ne correspond.,SQL - Fonctions,Moyen
582,Quel mot-clé modifie des lignes existantes dans une table ? (v45),UPDATE,ALTER,MODIFY,CHANGE,A,UPDATE modifie les lignes.,SQL - DML,Moyen
583,La contrainte UNIQUE assure : (v45),Valeurs distinctes dans la colonne,Valeurs non nulles,Valeur par défaut,Supprime les doublons,A,UNIQUE empêche la duplication de valeurs.,SQL - Contraintes,Moyen
584,Quel type d'index est le plus adapté pour les recherches par préfixe ? (v45),Index B-tree,Index bitmap,Hash index,Index spatial,A,B-tree est couramment utilisé pour préfixes et range scans.,SQL - Index,Moyen
585,La transaction ACID 'I' signifie : (v45),Isolation,Intégrité,Implémentation,Instruction,A,"A=Atomicity, C=Consistency, I=Isolation, D=Durability.",SQL - Transactions,Moyen
586,Quel niveau d'isolation permet les lectures non répétables ? (v45),READ COMMITTED,SERIALIZABLE,REPEATABLE READ,READ UNCOMMITTED,A,READ COMMITTED autorise non-répétables; SERIALIZABLE est le plus strict.,SQL - Transactions,Moyen
587,Quel mot-clé est utilisé pour rechercher un motif en SQL ? (v45),LIKE,MATCH,SEARCH,PATTERN,A,LIKE utilise % et _ pour motif.,SQL - Opérateurs,Moyen
588,Quelle clause permet de trier le résultat ? (v45),ORDER BY,GROUP BY,HAVING,WHERE,A,ORDER BY trie les lignes.,SQL - Clauses,Moyen
589,Quel est le rôle d'une clé étrangère (FOREIGN KEY) ? (v45),Assurer la référence entre tables,Accélérer les requêtes,Générer des index automatiques,Stocker des logs,A,FOREIGN KEY garantit l'intégrité référentielle.,SQL - Contraintes,Moyen
590,Quel mot-clé restaure les permissions par défaut sur une table ? (v45),REVOKE,GRANT,RESET,RESTORE,A,REVOKE retire des permissions précédemment GRANTées.,SQL - Sécurité,Moyen
611,Quel est le résultat de SELECT COUNT(*) FROM table WHERE 1=0 ? (v48),0,1,NULL,Erreur,A,COUNT retourne 0 si aucune ligne ne correspond.,SQL - Fonctions,Moyen
612,Quel mot-clé modifie des lignes existantes dans une table ? (v48),UPDATE,ALTER,MODIFY,CHANGE,A,UPDATE modifie les lignes.,SQL - DML,Moyen
613,La contrainte UNIQUE assure : (v48),Valeurs distinctes dans la colonne,Valeurs non nulles,Valeur par défaut,Supprime les doublons,A,UNIQUE empêche la duplication de valeurs.,SQL - Contraintes,Moyen
614,Quel type d'index est le plus adapté pour les recherches par préfixe ? (v48),Index B-tree,Index bitmap,Hash index,Index spatial,A,B-tree est couramment utilisé pour préfixes et range scans.,SQL - Index,Moyen
615,La transaction ACID 'I' signifie : (v48),Isolation,Intégrité,Implémentation,Instruction,A,"A=Atomicity, C=Consistency, I=Isolation, D=Durability.",SQL - Transactions,Moyen
616,Quel niveau d'isolation permet les lectures non répétables ? (v48),READ COMMITTED,SERIALIZABLE,REPEATABLE READ,READ UNCOMMITTED,A,READ COMMITTED autorise non-répétables; SERIALIZABLE est le plus strict.,SQL - Transactions,Moyen
617,Quel mot-clé est utilisé pour rechercher un motif en SQL ? (v48),LIKE,MATCH,SEARCH,PATTERN,A,LIKE utilise % et _ pour motif.,SQL - Opérateurs,Moyen
618,Quelle clause permet de trier le résultat ? (v48),ORDER BY,GROUP BY,HAVING,WHERE,A,ORDER BY trie les lignes.,SQL - Clauses,Moyen
619,Quel est le rôle d'une clé étrangère (FOREIGN KEY) ? (v48),Assurer la référence entre tables,Accélérer les requêtes,Générer des index automatiques,Stocker des logs,A,FOREIGN KEY garantit l'intégrité référentielle.,SQL - Contraintes,Moyen
620,Quel mot-clé restaure les permissions par défaut sur une table ? (v48),REVOKE,GRANT,RESET,RESTORE,A,REVOKE retire des permissions précédemment GRANTées.,SQL - Sécurité,Moyen
641,Quel est le résultat de SELECT COUNT(*) FROM table WHERE 1=0 ? (v51),0,1,NULL,Erreur,A,COUNT retourne 0 si aucune ligne ne correspond.,SQL - Fonctions,Moyen
642,Quel mot-clé modifie des lignes existantes dans une table ? (v51),UPDATE,ALTER,MODIFY,CHANGE,A,UPDATE modifie les lignes.,SQL - DML,Moyen
643,La contrainte UNIQUE assure : (v51),Valeurs distinctes dans la colonne,Valeurs non nulles,Valeur par défaut,Supprime les doublons,A,UNIQUE empêche la duplication de valeurs.,SQL - Contraintes,Moyen
644,Quel type d'index est le plus adapté pour les recherches par préfixe ? (v51),Index B-tree,Index bitmap,Hash index,Index spatial,A,B-tree est couramment utilisé pour préfixes et range scans.,SQL - Index,Moyen
645,La transaction ACID 'I' signifie : (v51),Isolation,Intégrité,Implémentation,Instruction,A,"A=Atomicity, C=Consistency, I=Isolation, D=Durability.",SQL - Transactions,Moyen
646,Quel niveau d'isolation permet les lectures non répétables ? (v51),READ COMMITTED,SERIALIZABLE,REPEATABLE READ,READ UNCOMMITTED,A,READ COMMITTED autorise non-répétables; SERIALIZABLE est le plus strict.,SQL - Transactions,Moyen
647,Quel mot-clé est utilisé pour rechercher un motif en SQL ? (v51),LIKE,MATCH,SEARCH,PATTERN,A,LIKE utilise % et _ pour motif.,SQL - Opérateurs,Moyen
648,Quelle clause permet de trier le résultat ? (v51),ORDER BY,GROUP BY,HAVING,WHERE,A,ORDER BY trie les lignes.,SQL - Clauses,Moyen
649,Quel est le rôle d'une clé étrangère (FOREIGN KEY) ? (v51),Assurer la référence entre tables,Accélérer les requêtes,Générer des index automatiques,Stocker des logs,A,FOREIGN KEY garantit l'intégrité référentielle.,SQL - Contraintes,Moyen
650,Quel mot-clé restaure les permissions par défaut sur une table ? (v51),REVOKE,GRANT,RESET,RESTORE,A,REVOKE retire des permissions précédemment GRANTées.,SQL - Sécurité,Moyen
671,Quel est le résultat de SELECT COUNT(*) FROM table WHERE 1=0 ? (v54),0,1,NULL,Erreur,A,COUNT retourne 0 si aucune ligne ne correspond.,SQL - Fonctions,Moyen
672,Quel mot-clé modifie des lignes existantes dans une table ? (v54),UPDATE,ALTER,MODIFY,CHANGE,A,UPDATE modifie les lignes.,SQL - DML,Moyen
673,La contrainte UNIQUE assure : (v54),Valeurs distinctes dans la colonne,Valeurs non nulles,Valeur par défaut,Supprime les doublons,A,UNIQUE empêche la duplication de valeurs.,SQL - Contraintes,Moyen
674,Quel type d'index est le plus adapté pour les recherches par préfixe ? (v54),Index B-tree,Index bitmap,Hash index,Index spatial,A,B-tree est couramment utilisé pour préfixes et range scans.,SQL - Index,Moyen
675,La transaction ACID 'I' signifie : (v54),Isolation,Intégrité,Implémentation,Instruction,A,"A=Atomicity, C=Consistency, I=Isolation, D=Durability.",SQL - Transactions,Moyen
676,Quel niveau d'isolation permet les lectures non répétables ? (v54),READ COMMITTED,SERIALIZABLE,REPEATABLE READ,READ UNCOMMITTED,A,READ COMMITTED autorise non-répétables; SERIALIZABLE est le plus strict.,SQL - Transactions,Moyen
677,Quel mot-clé est utilisé pour rechercher un motif en SQL ? (v54),LIKE,MATCH,SEARCH,PATTERN,A,LIKE utilise % et _ pour motif.,SQL - Opérateurs,Moyen
678,Quelle clause permet de trier le résultat ? (v54),ORDER BY,GROUP BY,HAVING,WHERE,A,ORDER BY trie les lignes.,SQL - Clauses,Moyen
679,Quel est le rôle d'une clé étrangère (FOREIGN KEY) ? (v54),Assurer la référence entre tables,Accélérer les requêtes,Générer des index automatiques,Stocker des logs,A,FOREIGN KEY garantit l'intégrité référentielle.,SQL - Contraintes,Moyen
680,Quel mot-clé restaure les permissions par défaut sur une table ? (v54),REVOKE,GRANT,RESET,RESTORE,A,REVOKE retire des permissions précédemment GRANTées.,SQL - Sécurité,Moyen
701,Quel est le résultat de SELECT COUNT(*) FROM table WHERE 1=0 ? (v57),0,1,NULL,Erreur,A,COUNT retourne 0 si aucune ligne ne correspond.,SQL - Fonctions,Moyen
702,Quel mot-clé modifie des lignes existantes dans une table ? (v57),UPDATE,ALTER,MODIFY,CHANGE,A,UPDATE modifie les lignes.,SQL - DML,Moyen
703,La contrainte UNIQUE assure : (v57),Valeurs distinctes dans la colonne,Valeurs non nulles,Valeur par défaut,Supprime les doublons,A,UNIQUE empêche la duplication de valeurs.,SQL - Contraintes,Moyen
704,Quel type d'index est le plus adapté pour les recherches par préfixe ? (v57),Index B-tree,Index bitmap,Hash index,Index spatial,A,B-tree est couramment utilisé pour préfixes et range scans.,SQL - Index,Moyen
705,La transaction ACID 'I' signifie : (v57),Isolation,Intégrité,Implémentation,Instruction,A,"A=Atomicity, C=Consistency, I=Isolation, D=Durability.",SQL - Transactions,Moyen
706,Quel niveau d'isolation permet les lectures non répétables ? (v57),READ COMMITTED,SERIALIZABLE,REPEATABLE READ,READ UNCOMMITTED,A,READ COMMITTED autorise non-répétables; SERIALIZABLE est le plus strict.,SQL - Transactions,Moyen
707,Quel mot-clé est utilisé pour rechercher un motif en SQL ? (v57),LIKE,MATCH,SEARCH,PATTERN,A,LIKE utilise % et _ pour motif.,SQL - Opérateurs,Moyen
708,Quelle clause permet de trier le résultat ? (v57),ORDER BY,GROUP BY,HAVING,WHERE,A,ORDER BY trie les lignes.,SQL - Clauses,Moyen
709,Quel est le rôle d'une clé étrangère (FOREIGN KEY) ? (v57),Assurer la référence entre tables,Accélérer les requêtes,Générer des index automatiques,Stocker des logs,A,FOREIGN KEY garantit l'intégrité référentielle.,SQL - Contraintes,Moyen
710,Quel mot-clé restaure les permissions par défaut sur une table ? (v57),REVOKE,GRANT,RESET,RESTORE,A,REVOKE retire des permissions précédemment GRANTées.,SQL - Sécurité,Moyen
731,Quel est le résultat de SELECT COUNT(*) FROM table WHERE 1=0 ? (v60),0,1,NULL,Erreur,A,COUNT retourne 0 si aucune ligne ne correspond.,SQL - Fonctions,Moyen
732,Quel mot-clé modifie des lignes existantes dans une table ? (v60),UPDATE,ALTER,MODIFY,CHANGE,A,UPDATE modifie les lignes.,SQL - DML,Moyen
733,La contrainte UNIQUE assure : (v60),Valeurs distinctes dans la colonne,Valeurs non nulles,Valeur par défaut,Supprime les doublons,A,UNIQUE empêche la duplication de valeurs.,SQL - Contraintes,Moyen
734,Quel type d'index est le plus adapté pour les recherches par préfixe ? (v60),Index B-tree,Index bitmap,Hash index,Index spatial,A,B-tree est couramment utilisé pour préfixes et range scans.,SQL - Index,Moyen
735,La transaction ACID 'I' signifie : (v60),Isolation,Intégrité,Implémentation,Instruction,A,"A=Atomicity, C=Consistency, I=Isolation, D=Durability.",SQL - Transactions,Moyen
736,Quel niveau d'isolation permet les lectures non répétables ? (v60),READ COMMITTED,SERIALIZABLE,REPEATABLE READ,READ UNCOMMITTED,A,READ COMMITTED autorise non-répétables; SERIALIZABLE est le plus strict.,SQL - Transactions,Moyen
737,Quel mot-clé est utilisé pour rechercher un motif en SQL ? (v60),LIKE,MATCH,SEARCH,PATTERN,A,LIKE utilise % et _ pour motif.,SQL - Opérateurs,Moyen
738,Quelle clause permet de trier le résultat ? (v60),ORDER BY,GROUP BY,HAVING,WHERE,A,ORDER BY trie les lignes.,SQL - Clauses,Moyen
739,Quel est le rôle d'une clé étrangère (FOREIGN KEY) ? (v60),Assurer la référence entre tables,Accélérer les requêtes,Générer des index automatiques,Stocker des logs,A,FOREIGN KEY garantit l'intégrité référentielle.,SQL - Contraintes,Moyen
740,Quel mot-clé restaure les permissions par défaut sur une table ? (v60),REVOKE,GRANT,RESET,RESTORE,A,REVOKE retire des permissions précédemment GRANTées.,SQL - Sécurité,Moyen
761,Quel est le résultat de SELECT COUNT(*) FROM table WHERE 1=0 ? (v63),0,1,NULL,Erreur,A,COUNT retourne 0 si aucune ligne ne correspond.,SQL - Fonctions,Moyen
762,Quel mot-clé modifie des lignes existantes dans une table ? (v63),UPDATE,ALTER,MODIFY,CHANGE,A,UPDATE modifie les lignes.,SQL - DML,Moyen
763,La contrainte UNIQUE assure : (v63),Valeurs distinctes dans la colonne,Valeurs non nulles,Valeur par défaut,Supprime les doublons,A,UNIQUE empêche la duplication de valeurs.,SQL - Contraintes,Moyen
764,Quel type d'index est le plus adapté pour les recherches par préfixe ? (v63),Index B-tree,Index bitmap,Hash index,Index spatial,A,B-tree est couramment utilisé pour préfixes et range scans.,SQL - Index,Moyen
765,La transaction ACID 'I' signifie : (v63),Isolation,Intégrité,Implémentation,Instruction,A,"A=Atomicity, C=Consistency, I=Isolation, D=Durability.",SQL - Transactions,Moyen
766,Quel niveau d'isolation permet les lectures non répétables ? (v63),READ COMMITTED,SERIALIZABLE,REPEATABLE READ,READ UNCOMMITTED,A,READ COMMITTED autorise non-répétables; SERIALIZABLE est le plus strict.,SQL - Transactions,Moyen
767,Quel mot-clé est utilisé pour rechercher un motif en SQL ? (v63),LIKE,MATCH,SEARCH,PATTERN,A,LIKE utilise % et _ pour motif.,SQL - Opérateurs,Moyen
768,Quelle clause permet de trier le résultat ? (v63),ORDER BY,GROUP BY,HAVING,WHERE,A,ORDER BY trie les lignes.,SQL - Clauses,Moyen
769,Quel est le rôle d'une clé étrangère (FOREIGN KEY) ? (v63),Assurer la référence entre tables,Accélérer les requêtes,Générer des index automatiques,Stocker des logs,A,FOREIGN KEY garantit l'intégrité référentielle.,SQL - Contraintes,Moyen
770,Quel mot-clé restaure les permissions par défaut sur une table ? (v63),REVOKE,GRANT,RESET,RESTORE,A,REVOKE retire des permissions précédemment GRANTées.,SQL - Sécurité,Moyen
791,Quel est le résultat de SELECT COUNT(*) FROM table WHERE 1=0 ? (v66),0,1,NULL,Erreur,A,COUNT retourne 0 si aucune ligne ne correspond.,SQL - Fonctions,Moyen
792,Quel mot-clé modifie des lignes existantes dans une table ? (v66),UPDATE,ALTER,MODIFY,CHANGE,A,UPDATE modifie les lignes.,SQL - DML,Moyen
793,La contrainte UNIQUE assure : (v66),Valeurs distinctes dans la colonne,Valeurs non nulles,Valeur par défaut,Supprime les doublons,A,UNIQUE empêche la duplication de valeurs.,SQL - Contraintes,Moyen
794,Quel type d'index est le plus adapté pour les recherches par préfixe ? (v66),Index B-tree,Index bitmap,Hash index,Index spatial,A,B-tree est couramment utilisé pour préfixes et range scans.,SQL - Index,Moyen
795,La transaction ACID 'I' signifie : (v66),Isolation,Intégrité,Implémentation,Instruction,A,"A=Atomicity, C=Consistency, I=Isolation, D=Durability.",SQL - Transactions,Moyen
796,Quel niveau d'isolation permet les lectures non répétables ? (v66),READ COMMITTED,SERIALIZABLE,REPEATABLE READ,READ UNCOMMITTED,A,READ COMMITTED autorise non-répétables; SERIALIZABLE est le plus strict.,SQL - Transactions,Moyen
797,Quel mot-clé est utilisé pour rechercher un motif en SQL ? (v66),LIKE,MATCH,SEARCH,PATTERN,A,LIKE utilise % et _ pour motif.,SQL - Opérateurs,Moyen
798,Quelle clause permet de trier le résultat ? (v66),ORDER BY,GROUP BY,HAVING,WHERE,A,ORDER BY trie les lignes.,SQL - Clauses,Moyen
799,Quel est le rôle d'une clé étrangère (FOREIGN KEY) ? (v66),Assurer la référence entre tables,Accélérer les requêtes,Générer des index automatiques,Stocker des logs,A,FOREIGN KEY garantit l'intégrité référentielle.,SQL - Contraintes,Moyen
800,Quel mot-clé restaure les permissions par défaut sur une table ? (v66),REVOKE,GRANT,RESET,RESTORE,A,REVOKE retire des permissions précédemment GRANTées.,SQL - Sécurité,Moyen
821,Quel est le résultat de SELECT COUNT(*) FROM table WHERE 1=0 ? (v69),0,1,NULL,Erreur,A,COUNT retourne 0 si aucune ligne ne correspond.,SQL - Fonctions,Moyen
822,Quel mot-clé modifie des lignes existantes dans une table ? (v69),UPDATE,ALTER,MODIFY,CHANGE,A,UPDATE modifie les lignes.,SQL - DML,Moyen
823,La contrainte UNIQUE assure : (v69),Valeurs distinctes dans la colonne,Valeurs non nulles,Valeur par défaut,Supprime les doublons,A,UNIQUE empêche la duplication de valeurs.,SQL - Contraintes,Moyen
824,Quel type d'index est le plus adapté pour les recherches par préfixe ? (v69),Index B-tree,Index bitmap,Hash index,Index spatial,A,B-tree est couramment utilisé pour préfixes et range scans.,SQL - Index,Moyen
825,La transaction ACID 'I' signifie : (v69),Isolation,Intégrité,Implémentation,Instruction,A,"A=Atomicity, C=Consistency, I=Isolation, D=Durability.",SQL - Transactions,Moyen
826,Quel niveau d'isolation permet les lectures non répétables ? (v69),READ COMMITTED,SERIALIZABLE,REPEATABLE READ,READ UNCOMMITTED,A,READ COMMITTED autorise non-répétables; SERIALIZABLE est le plus strict.,SQL - Transactions,Moyen
827,Quel mot-clé est utilisé pour rechercher un motif en SQL ? (v69),LIKE,MATCH,SEARCH,PATTERN,A,LIKE utilise % et _ pour motif.,SQL - Opérateurs,Moyen
